Dénomination,latitude,longitude
COOPECCO/VITSHUMBI,-1.183333,29.45
IMF HEKIMA (2er catégorie),-1.658501,29.220455
COOPEC MWANGAZA,-1.658501,29.220455
COOPEC AGROPAS-LE GRENIER/BUTEMBO,0.15,29.283333
COOPEC SILOE,-1.658501,29.220455
Société de Microfinance Light in Business SMF LBC,-1.658501,29.220455
COOPEC EDE/GOMA,-1.658501,29.220455
COOPEC EAD,-1.658501,29.220455
COOPECCO-GOMA,-1.658501,29.220455
COOPEC AKIBA YETU,-1.658501,29.220455
COOPEC LE BATISSEUR,-1.658501,29.220455
COOPEC UMOJA-WETU,-1.658501,29.220455
COOPEC NYAWERA GOMA,-1.658501,29.220455
MECRE KISANGANI,0.516667,25.2
MECRE BUNIA,1.566667,30.25
COOPEC BAGIRA,-2.471274,28.827636
COOPEC CAHI,-2.5,28.866667
COOPEC EDE/BUKAVU,-2.5,28.866667
COOPEC KAWA,-2.5,28.866667
COOPEC MALI FEZA,-2.5,28.866667
COOPEC MOC Commune de BUKAVU,-2.5,28.866667
COOPEC NYAWERA,-2.5,28.866667
COOPEC PILOTE,-2.5,28.866667
MECREBU/COOPEC,-2.5,28.866667
MUTECommune de COOPEC,-2.5,28.866667
COOPEC Kalundu,-3.372884,29.144879
COOPEC CIHERANO,-2.708121,28.646898
COOPEC BURHIBA-KASHA,-2.471274,28.827636
COOPEC FOMULAC KATANA,-2.225,28.831389
COOPEC KAZIMIA,-4.301111,28.944167
COOPEC LUHWINDJA,-3.294308,28.100563
COOPECommune de BARAKA,-4.301111,28.944167
MECRE IBANDA/COOPEC,-2.5,28.866667
MECRE KADUTU/COOPEC,-2.5,28.866667
MECRE UVIRA/COOPEC,-3.372884,29.144879
COOPEC IMARA BUKAVU,-2.5,28.866667
COOPEC MBOKO,-4.301111,28.944167
IMF SOFIGL,-2.5,28.866667
IMF SMICO,-2.5,28.866667
COOCEC-KIVU,-2.633333,28.7
COOPEC KANDO,-2.096872,28.904823
COOPEC NYAWERA KAVUMU,-2.465978,28.817249
COOPEC NYAWERA BEACH MUHANZI,-2.471274,28.827636
COOPEC Axé su les Rèsultats,-2.5,28.866667
COOPEC Tulinde Hazina,-2.5,28.866667
COOPEC NYANTENDE,-2.465978,28.817249
MECRE KAVUMU MECRECO,-2.203702,28.818895
FINCA International Bukavu,-2.5,28.866667
